id,value,feed_id,created_at,lat,lon,ele
0EPJRW8KNBY7EBJ2896CFQP7NW,1001.06,1589961,2021-03-28 09:32:13 UTC,,,
0EPJRWFNZF2NDRK7F4GWGP4Y5Q,1001.06,1589961,2021-03-28 09:32:36 UTC,,,
0EPJRWPSN4MDVJT5MN7NT0GCKC,1001.0,1589961,2021-03-28 09:32:59 UTC,,,
0EPJRWXXPQFWWVQGZ0A1XDHDT7,1001.03,1589961,2021-03-28 09:33:23 UTC,,,
0EPJRX51Q5ZFHPYFGBCP2FJ0WC,1001.03,1589961,2021-03-28 09:33:46 UTC,,,
0EPJRXC5QD2FV5THMJXB47HNW1,1001.01,1589961,2021-03-28 09:34:09 UTC,,,
0EPJRXK8QZ2DB1AV5HBRWVDAP4,1001.03,1589961,2021-03-28 09:34:33 UTC,,,
0EPJRXTCPP40AX8HGFPRC06FE6,1001.01,1589961,2021-03-28 09:34:56 UTC,,,
0EPJRY1GPR2KRPN7YJZ2V9TSZY,1001.03,1589961,2021-03-28 09:35:19 UTC,,,
0EPJRY8MNB0JS5N3TDRFRN37BP,1000.97,1589961,2021-03-28 09:35:43 UTC,,,
0EPJRYFT4KRE923J7CKXX1YTTX,1001.0,1589961,2021-03-28 09:36:06 UTC,,,
0EPJRYPYPEXPCTSX3BN43GE2VQ,1001.0,1589961,2021-03-28 09:36:30 UTC,,,
0EPJRYY4NFJER72P8YRSGSV2GR,1000.95,1589961,2021-03-28 09:36:53 UTC,,,
0EPJRZ58RDSC7SV3P6WGBSRWZB,1000.98,1589961,2021-03-28 09:37:17 UTC,,,
0EPJRZCCNYS7NMHB8DZZ0D8RT6,1000.96,1589961,2021-03-28 09:37:40 UTC,,,
0EPJRZKFY0YC6YNP17DRDQVH7X,1000.96,1589961,2021-03-28 09:38:03 UTC,,,
0EPJRZTMQV4GTVX3D3N57B25DN,1000.95,1589961,2021-03-28 09:38:27 UTC,,,
0EPJS01QNN59V2WKCF1VDEGHS4,1000.97,1589961,2021-03-28 09:38:50 UTC,,,
0EPJS08XQV9QQPG3N2KSSHM67X,1000.97,1589961,2021-03-28 09:39:13 UTC,,,
0EPJS0G1PQ9EPJPFEK3TE63DJX,1000.95,1589961,2021-03-28 09:39:37 UTC,,,
0EPJS0Q5R34FRX0T7K1Y7A49KR,1000.96,1589961,2021-03-28 09:40:00 UTC,,,
0EPJS0Y9QTKATQ21VJM9EJGM8N,1000.92,1589961,2021-03-28 09:40:23 UTC,,,
