id,value,feed_id,created_at,lat,lon,ele
0EPJRW152VR8PZYT25DQTD50E1,27.5519,1589960,2021-03-28 09:31:49 UTC,,,
0EPJRW89RCVXAJ2V6MNZ99S7YS,27.3834,1589960,2021-03-28 09:32:12 UTC,,,
0EPJRWFCSD78872EA5QB43KT78,27.2914,1589960,2021-03-28 09:32:35 UTC,,,
0EPJRWPENN5RW05407F4G3NP3C,27.3117,1589960,2021-03-28 09:32:58 UTC,,,
0EPJRWXKNAF5T0X50KQWZF395Z,27.2045,1589960,2021-03-28 09:33:22 UTC,,,
0EPJRX4QN69MHFVNQX7G19C023,27.0869,1589960,2021-03-28 09:33:45 UTC,,,
0EPJRXBVNQBE5GQJBHCDJ6P4GA,27.041,1589960,2021-03-28 09:34:08 UTC,,,
0EPJRXJYPFVJ2TQW0FRXGF1BN5,26.9949,1589960,2021-03-28 09:34:32 UTC,,,
0EPJRXT2MP079Q558X2DEGMJST,26.9592,1589960,2021-03-28 09:34:55 UTC,,,
0EPJRY16NMGSRRGMQMWYT7JXZE,26.9949,1589960,2021-03-28 09:35:18 UTC,,,
0EPJRY8AQKNVMTW9Q2BEBGHBNT,26.9592,1589960,2021-03-28 09:35:42 UTC,,,
0EPJRYFFRBRXBZCFHN7KC1PHTE,26.9285,1589960,2021-03-28 09:36:05 UTC,,,
0EPJRYPMQ6K4TY20VW72CXCGT3,26.8775,1589960,2021-03-28 09:36:29 UTC,,,
0EPJRYXSVJEMXPJ7D436MN3XW4,26.9592,1589960,2021-03-28 09:36:52 UTC,,,
0EPJRZ4YPB259TEQSW7ZKB9WBP,26.9898,1589960,2021-03-28 09:37:16 UTC,,,
0EPJRZC2R7A099PM492TBR12EC,26.9695,1589960,2021-03-28 09:37:39 UTC,,,
0EPJRZK6TTY1XQY05ZDZHAJ528,26.9541,1589960,2021-03-28 09:38:02 UTC,,,
0EPJRZTAQAMYDH59WMG94P6RR9,26.9184,1589960,2021-03-28 09:38:26 UTC,,,
0EPJS01DYP8TH3H9P9H76MYW7J,26.9592,1589960,2021-03-28 09:38:49 UTC,,,
0EPJS08KP9RESMXFYJS2GJAJSA,27.0103,1589960,2021-03-28 09:39:12 UTC,,,
0EPJS0FQPV3EHZGYGHW0HFPM26,27.0103,1589960,2021-03-28 09:39:36 UTC,,,
0EPJS0PVNNTFJ1XC5CVFY77G90,27.0309,1589960,2021-03-28 09:39:59 UTC,,,
0EPJS0XYDS93F2K9JTVDAQYHAQ,26.9949,1589960,2021-03-28 09:40:22 UTC,,,
0EPJS153R2M5XVDP2KT5RPNFNR,27.0359,1589960,2021-03-28 09:40:46 UTC,,,
0EPJS1C7PMJNMV8F40HZ70ZBK8,26.9695,1589960,2021-03-28 09:41:09 UTC,,,
0EPJS1KBPS1SBMJMP71PS2W0MB,26.9234,1589960,2021-03-28 09:41:32 UTC,,,
0EPJS1TQPY0ZXTFTJY75XN4N1K,26.9285,1589960,2021-03-28 09:41:57 UTC,,,
